기준연도,학교구분명,설립형태 구분명,시도코드,시도명,학교명,본분교구분명,입학정원수(총계),인문계열 입학정원수,사회계열 입학정원수,교육계열 입학정원수,공학계열 입학정원수,자연계열 입학정원수,의약계열 입학정원수,예체능계열 입학정원수,데이터기준일자,제공기관코드,제공기관명
2024,전문대학,사립,52,전북특별자치도,전주비전대학교,본교,1049,0,98,40,478,0,310,123,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,52,전북특별자치도,전주기전대학,본교,788,329,0,60,0,25,270,104,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,52,전북특별자치도,전북과학대학교,본교,608,5,121,25,173,72,157,55,2025-08-22,B090027,한국교육개발원
2024,전문대학,공립,46,전라남도,전남도립대학교,본교,410,0,50,0,205,80,0,75,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,46,전라남도,전남과학대학교,본교,1064,0,130,0,220,135,319,260,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,28,인천광역시,재능대학교,캠퍼스,141,0,0,0,81,60,0,0,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,28,인천광역시,재능대학교,본교,1172,50,250,94,200,105,163,310,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,41,경기도,장안대학교,본교,1725,340,555,70,150,180,0,430,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,28,인천광역시,인하공업전문대학,본교,2553,0,585,0,1688,75,0,205,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,11,서울특별시,인덕대학교,본교,2066,216,463,0,695,0,0,692,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,41,경기도,유한대학교,본교,1703,104,342,25,500,300,110,322,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,52,전북특별자치도,원광보건대학교,본교,1285,0,270,50,40,100,727,98,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,41,경기도,웅지세무대학교,본교,599,0,599,0,0,0,0,0,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,31,울산광역시,울산과학대학교,캠퍼스,792,0,32,0,760,0,0,0,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,31,울산광역시,울산과학대학교,본교,820,0,80,47,90,110,349,144,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,30,대전광역시,우송정보대학,본교,1475,0,160,56,339,530,120,270,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,41,경기도,용인예술과학대학교,본교,1070,0,182,50,160,130,145,403,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,41,경기도,오산대학교,본교,1768,0,365,99,391,211,306,396,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,27,대구광역시,영진전문대학교,본교,2488,0,433,80,1406,125,224,220,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,27,대구광역시,영남이공대학교,본교,2177,0,425,0,899,155,373,325,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,47,경상북도,영남외국어대학,본교,287,16,166,0,20,20,65,0,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,44,충청남도,연암대학교,본교,483,0,0,0,0,483,0,0,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,48,경상남도,연암공과대학교,본교,445,0,0,0,445,0,0,0,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,41,경기도,연성대학교,본교,2222,35,574,169,408,450,85,501,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,41,경기도,여주대학교,본교,1400,0,165,37,379,49,395,375,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,41,경기도,안산대학교,본교,1461,0,368,58,80,115,558,282,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,47,경상북도,안동과학대학교,본교,693,0,45,0,67,130,386,65,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,44,충청남도,아주자동차대학교,본교,330,0,0,0,330,0,0,0,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,41,경기도,신안산대학교,본교,1050,0,245,35,180,230,35,325,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,44,충청남도,신성대학교,본교,1075,0,50,40,395,55,340,195,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,41,경기도,신구대학교,본교,2293,0,366,163,515,340,400,509,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,11,서울특별시,숭의여자대학교,본교,1335,70,420,225,70,90,0,460,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,46,전라남도,순천제일대학교,본교,992,0,91,56,443,52,280,70,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,41,경기도,수원여자대학교,캠퍼스,386,0,0,0,0,261,30,95,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,41,경기도,수원여자대학교,본교,1032,0,191,84,0,20,425,312,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,41,경기도,수원과학대학교,본교,2005,0,680,0,490,144,251,440,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,27,대구광역시,수성대학교,본교,1190,0,285,130,130,123,315,207,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,51,강원특별자치도,송호대학교,본교,345,0,78,0,15,60,147,45,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,51,강원특별자치도,송곡대학교,본교,200,0,13,21,21,36,74,35,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,51,강원특별자치도,세경대학교,본교,395,0,135,0,52,66,116,26,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,47,경상북도,성운대학교,본교,540,0,494,0,25,21,0,0,2025-08-22,B090027,한국교육개발원
2024,전문대학,사립,47,경상북도,선린대학교,본교,647,0,94,24,107,12,370,40,2025-08-22,B090027,한국교육개발원
